season_code,team,avg_gk,avg_def,avg_mid,avg_att,avg_overall,squad_depth
2324,Crystal Palace,69.0,70.5,68.7,71.3,70.1,76.6
2324,Everton,68.7,72.2,72.7,74.8,72.5,77.5
2324,Fulham,70.2,69.8,70.2,74.7,70.9,77.3
2324,Liverpool,70.4,77.1,79.4,74.1,75.6,84.1
2324,Luton,71.0,70.8,72.1,70.5,71.1,72.6
2324,Man City,76.8,79.9,77.4,77.4,78.0,85.5
2324,Man United,77.7,78.5,76.3,76.7,77.3,83.1
2324,Newcastle,75.0,75.1,73.9,76.2,75.1,81.5
2324,Nott'm Forest,71.8,74.0,75.4,75.3,74.3,77.4
2324,Sheffield United,66.7,70.3,71.6,64.9,69.0,73.5
2324,Tottenham,73.6,74.0,76.9,79.2,76.2,81.4
2324,West Ham,73.7,74.4,69.4,72.0,72.0,78.7
2324,Wolves,72.0,75.6,71.1,71.7,72.9,76.9
2425,Arsenal,80.5,77.3,76.6,79.5,77.8,84.3
2425,Aston Villa,73.0,74.4,75.8,79.5,75.2,80.9
2425,Bournemouth,68.8,70.8,75.9,79.0,73.0,77.1
2425,Brentford,70.7,74.8,68.9,76.7,72.4,77.5
2425,Brighton,75.5,76.0,72.0,71.0,73.2,77.9
2425,Chelsea,75.3,79.2,75.8,74.3,76.4,80.8
2425,Crystal Palace,72.0,73.2,73.3,73.2,73.1,78.4
2425,Everton,68.2,73.4,71.7,74.6,72.3,76.9
2425,Fulham,74.5,74.6,74.6,74.5,74.6,77.0
2425,Ipswich,67.3,72.9,73.6,69.3,72.2,74.5
2425,Leicester,70.8,73.2,72.4,72.4,72.5,76.1
2425,Liverpool,70.2,75.2,73.9,81.4,75.4,84.4
2425,Man City,77.3,79.4,82.7,77.4,79.4,86.5
2425,Man United,71.7,75.0,75.1,73.7,74.6,81.5
2425,Newcastle,73.8,76.1,78.3,74.4,75.8,81.4
2425,Nott'm Forest,75.0,73.5,75.1,74.7,74.4,77.3
2425,Southampton,73.8,70.7,73.9,70.3,71.6,75.2
2425,Tottenham,67.8,76.6,74.6,83.0,74.9,81.9
2425,West Ham,77.0,77.7,72.8,78.0,75.1,80.1
2425,Wolves,73.2,71.9,72.2,71.9,72.2,77.6
