result,matchday,home_form_pts,home_form_gf,home_form_ga,home_form_gd,home_form_wins,home_form_draws,away_form_pts,away_form_gf,away_form_ga,away_form_gd,away_form_wins,away_form_draws,home_home_pts,home_home_gd,away_away_pts,away_away_gd,pts_diff,gd_diff,home_position,away_position,position_diff,home_league_pts,away_league_pts,league_pts_diff,home_league_gd,away_league_gd,elo_home,elo_away,elo_diff,home_shots_avg,home_shots_against_avg,home_sot_avg,home_sot_against_avg,away_shots_avg,away_shots_against_avg,away_sot_avg,away_sot_against_avg,shots_diff,sot_diff,corners_diff
D,20,3,1.0,9.0,-8.0,1,0,4,2.0,3.0,-1.0,1,1,3,0.0,4,1.0,-1,-7.0,16,13,-3,3,4,-1,-8.0,-1.0,1470.709070955715,1486.7961554001,-16.087084444385027,13.75,16.0,3.5,6.0,15.5,10.0,2.75,1.75,-1.75,0.75,0
H,20,4,6.0,7.0,-1.0,1,1,6,6.0,5.0,1.0,2,0,0,-3.0,3,1.0,-2,-2.0,14,8,-6,4,6,-2,-1.0,1.0,1483.9985876655855,1502.006658573754,-18.00807090816852,13.75,12.0,4.5,5.5,14.5,8.25,4.25,3.0,-0.75,0.25,0
D,20,2,1.0,4.0,-3.0,0,2,3,5.0,6.0,-1.0,0,3,1,-2.0,1,-1.0,-1,-2.0,18,15,-3,2,3,-1,-3.0,-1.0,1470.10910004047,1483.3294511405984,-13.220351100128257,10.25,10.5,2.25,3.25,10.0,13.25,3.0,4.75,0.25,-0.75,0
D,20,2,3.0,9.0,-6.0,0,2,5,5.0,5.0,0.0,1,2,1,-2.0,3,0.0,-3,-6.0,20,10,-10,2,5,-3,-6.0,0.0,1469.4375086083437,1497.8294436329145,-28.39193502457056,12.5,11.0,3.0,4.75,10.0,16.25,3.75,4.25,2.5,-0.75,0
A,20,10,4.0,1.0,3.0,3,1,6,7.0,6.0,1.0,1,3,4,1.0,2,0.0,4,2.0,2,7,5,10,6,4,3.0,1.0,1545.9262135456763,1513.8618508870163,32.064362658659775,8.0,12.5,1.75,2.5,16.5,9.0,5.25,3.75,-8.5,-3.5,0
A,20,5,9.0,10.0,-1.0,1,2,2,5.0,8.0,-3.0,0,2,1,-3.0,1,-1.0,3,2.0,13,19,6,5,2,3,-1.0,-3.0,1502.0722780366996,1468.86683468051,33.20544335618956,12.25,11.75,4.0,3.75,9.75,15.0,4.0,5.25,2.5,0.0,0
H,20,5,4.0,5.0,-1.0,1,2,5,6.0,3.0,3.0,1,2,2,0.0,2,0.0,0,-4.0,12,11,-1,5,5,0,-1.0,3.0,1502.9419730748325,1500.1628469122231,2.779126162609145,8.5,22.0,2.75,5.75,12.5,8.5,4.75,3.0,-4.0,-2.0,0
D,20,7,7.0,4.0,3.0,2,1,12,15.0,6.0,9.0,4,0,3,1.0,6,5.0,-5,-6.0,6,1,-5,7,12,-5,3.0,9.0,1513.8695221670266,1561.8261411722403,-47.956619005213724,13.25,11.25,4.75,2.75,19.75,10.75,7.5,3.75,-6.5,-2.75,0
A,20,7,7.0,5.0,2.0,2,1,2,2.0,7.0,-5.0,0,2,3,1.0,1,-3.0,5,7.0,7,20,13,7,2,5,2.0,-5.0,1511.6936471312708,1468.7659684365292,42.92767869474165,12.5,12.5,4.0,3.5,11.25,10.25,2.5,4.0,1.25,1.5,0
H,20,10,9.0,3.0,6.0,3,1,4,3.0,11.0,-8.0,1,1,4,4.0,0,-8.0,6,14.0,2,18,16,10,4,6,6.0,-8.0,1533.2406337853936,1471.449379596808,61.791254188585526,11.8,7.6,5.4,3.0,15.2,14.4,3.8,5.6,-3.3999999999999986,1.6000000000000005,0
